"";"Trienio";"Nome_Microrregiao";"COD_Microrregiao_Geografica";"Categoria 1 ou Adequada (C1)";"Categoria 2 ou Intermediária (C2)";"Categoria 3 ou Inadequada (C3)";"Indice_Adequacao"
"158";"2006_2008";"Itabira";"31031";0,610025867134891;0,384867282246482;0,00510685061862753;79,7352657639504
"159";"2006_2008";"Itaguara";"31032";0,21396294400252;0,78603705599748;0;60,698147200126
"160";"2006_2008";"Itajuba";"31056";0,772180881511162;0,121469185269987;0,106349933218851;72,6565540927304
"161";"2006_2008";"Ituiutaba";"31017";0,101683999872263;0,846779430079942;0,0515365700477949;47,3537144864439
"162";"2006_2008";"Janauba";"31004";0,134074194746165;0,844821234896216;0,0211045703576183;53,5380241836655
"163";"2006_2008";"Januaria";"31003";0,436460246935673;0,445515984084421;0,118023768979906;54,1194469997978
"164";"2006_2008";"Juiz_de_Fora";"31065";0,399516686630567;0,600483313369433;0;69,9758343315283
"165";"2006_2008";"Lavras";"31057";0,470048781309766;0,529951218690234;0;73,5024390654883
"166";"2006_2008";"Manhuacu";"31061";0,14278379490902;0,85721620509098;0;57,139189745451
"167";"2006_2008";"Mantena";"31038";0,21960039609421;0,78039960390579;0;60,9800198047105
"168";"2006_2008";"Montes_Claros";"31007";0,0975421231351781;0,669397716496089;0,233060160368733;19,918082101449
"169";"2006_2008";"Muriae";"31063";0,46083907820735;0,53916092179265;0;73,0419539103675
"170";"2006_2008";"Nanuque";"31016";0,0828842749074521;0,917115725092548;0;54,1442137453726
"171";"2006_2008";"Oliveira";"31046";0,734898896989242;0,265101103010758;0;86,7449448494621
"172";"2006_2008";"Ouro_Preto";"31033";0,393559913612641;0,606440086387359;0;69,6779956806321
"173";"2006_2008";"Para_de_Minas";"31029";0,958170803682272;0,0418291963177282;0;97,9085401841136
"174";"2006_2008";"Paracatu";"31002";0,16409896898522;0,83590103101478;0;58,204948449261
"175";"2006_2008";"Passos";"31047";0,420558529261664;0,556269169666276;0,0231723010720601;67,5520813022742
"176";"2006_2008";"Patos_de_Minas";"31020";0,568056116159578;0,431943883840422;0;78,4028058079789
"177";"2006_2008";"Patrocinio";"31019";0,68910136450545;0,31089863549455;0;84,4550682252725
"178";"2006_2008";"Pecanha";"31036";0,203603565810173;0,723213424226534;0,0731830099632931;49,2027267960147
"179";"2006_2008";"Pedra_Azul";"31013";0,202798952738738;0,713113600320309;0,0840874469409524;47,5268305957941
"180";"2006_2008";"Pirapora";"31006";0;0,955560880504515;0,0444391194954853;43,3341320756772
"181";"2006_2008";"Piui";"31042";0,306971969291198;0,693028030708802;0;65,3485984645599
"182";"2006_2008";"Pocos_de_Caldas";"31051";0,0490915100163342;0,944857580674238;0,00605090930942743;51,5469391044026
"183";"2006_2008";"Ponte_Nova";"31060";0,187649961813151;0,812350038186849;0;59,3824980906575
"184";"2006_2008";"Pouso_Alegre";"31052";0,144205512177018;0,855794487822982;0;57,2102756088509
"185";"2006_2008";"Salinas";"31005";0;0,961168818387596;0,0388311816124039;44,1753227581394
"186";"2006_2008";"Santa_Rita_do_Sapucai";"31053";0,0513053240689023;0,948694675931098;0;52,5652662034451
"187";"2006_2008";"Sao_Joao_Del_Rei";"31058";0,283141209207048;0,716858790792952;0;64,1570604603524
"188";"2006_2008";"Sao_Lourenco";"31054";0,443325377165163;0,556674622834837;0;72,1662688582582
"189";"2006_2008";"Sao_Sebastiao_do_Paraiso";"31048";0,43827601384632;0,56172398615368;0;71,913800692316
"190";"2006_2008";"Sete_Lagoas";"31027";0,733793912409;0,246808322350983;0,0193977652400168;83,7800308344475
"191";"2006_2008";"Teofilo_Otoni";"31015";0,223919127430831;0,747593375770713;0,0284874967984558;56,9228318517732
"192";"2006_2008";"Tres_Marias";"31024";0,54303090393316;0,447542432504838;0,00942666356200191;75,7375456623577
"193";"2006_2008";"Uba";"31064";0,242892440308529;0,757107559691471;0;62,1446220154265
"194";"2006_2008";"Uberaba";"31022";0,710579279720885;0,289420720279115;0;85,5289639860442
"195";"2006_2008";"Uberlandia";"31018";0,916276562400237;0,0787294741791123;0,00499396342065091;95,0647336069142
"196";"2006_2008";"Unai";"31001";0;0,887850511445513;0,112149488554487;33,1775767168269
"197";"2006_2008";"Varginha";"31050";0,198060854260186;0,801939145739814;0;59,9030427130093
"198";"2006_2008";"Vicosa";"31062";0,395292911314038;0,604707088685962;0;69,7646455657019
"199";"2009_2011";"Aimores";"31041";0,400041956216123;0,586516962460506;0,0134410813233715;67,9859356123004
"200";"2009_2011";"Alfenas";"31049";0,339145268342493;0,555836261525062;0,105018470132444;51,204492897258
"201";"2009_2011";"Almenara";"31014";0,0583345845701328;0,642196324828773;0,299469090601094;7,99636563834252
"202";"2009_2011";"Andrelandia";"31055";0,423164513690617;0,339277890388402;0,237557595920981;35,5245862963837
"203";"2009_2011";"Aracuai";"31012";0,217811880833897;0,707197361404752;0,0749907577613509;49,6419803774922
"204";"2009_2011";"Araxa";"31023";0,71284577906898;0,28715422093102;0;85,642288953449
"205";"2009_2011";"Barbacena";"31059";0,825126500057687;0,174873499942313;0;91,2563250028844
"206";"2009_2011";"Belo_Horizonte";"31030";0,856806528882335;0,143193471117665;0;92,8403264441167
"207";"2009_2011";"Bocaiuva";"31009";0,83127538586515;0,16872461413485;0;91,5637692932575
"208";"2009_2011";"Bom_Despacho";"31026";0,590828197999857;0,409171802000143;0;79,5414098999929
"209";"2009_2011";"Campo_Belo";"31045";0,294563333253453;0,705436666746547;0;64,7281666626726
"210";"2009_2011";"Capelinha";"31011";0,402555200728903;0,597444799271097;0;70,1277600364452
"211";"2009_2011";"Caratinga";"31040";0,356722107320307;0,643277892679693;0;67,8361053660153
"212";"2009_2011";"Cataguases";"31066";0,866593164277839;0,133406835722161;0;93,3296582138919
"213";"2009_2011";"Conceicao_do_Mato_Dentro";"31028";0;0,646849062975367;0,353150937024633;-2,97264055369497
"214";"2009_2011";"Conselheiro_Lafaiete";"31034";0,549478102596486;0,450521897403514;0;77,4739051298243
"215";"2009_2011";"Curvelo";"31025";0,489455982061823;0,510544017938177;0;74,4727991030911
"216";"2009_2011";"Diamantina";"31010";0,107122274517337;0,892877725482663;0;55,3561137258669
"217";"2009_2011";"Divinopolis";"31043";0,866862401897126;0,0956606006413632;0,0374769974615107;87,7215704756297
"218";"2009_2011";"Formiga";"31044";0,267090475120508;0,732909524879492;0;63,3545237560254
"219";"2009_2011";"Frutal";"31021";0,521618080576482;0,478381919423518;0;76,0809040288241
"220";"2009_2011";"Governador_Valadares";"31037";0,631671173452154;0,359072927421722;0,00925589912612403;80,1951738036891
"221";"2009_2011";"Grao_Mogol";"31008";0,233321380971389;0,766678619028611;0;61,6660690485694
"222";"2009_2011";"Guanhaes";"31035";0,347586414163183;0,652413585836817;0;67,3793207081592
"223";"2009_2011";"Ipatinga";"31039";0,919075010182918;0,0809249898170819;0;95,9537505091459
"224";"2009_2011";"Itabira";"31031";0,63678654359916;0,358240680609565;0,00497277579127556;81,0934108112667
"225";"2009_2011";"Itaguara";"31032";0,511166523984901;0,488833476015099;0;75,558326199245
"226";"2009_2011";"Itajuba";"31056";0,513183223077757;0,486816776922243;0;75,6591611538879
"227";"2009_2011";"Ituiutaba";"31017";0,892454254018265;0,107545745981735;0;94,6227127009133
"228";"2009_2011";"Janauba";"31004";0,279748379396419;0,720251620603581;0;63,9874189698209
"229";"2009_2011";"Januaria";"31003";0,0571846741370794;0,91400257893285;0,028812746930071;48,5373216673433
"230";"2009_2011";"Juiz_de_Fora";"31065";0,447760081537018;0,552239918462982;0;72,3880040768509
"231";"2009_2011";"Lavras";"31057";0,519499900948691;0,480500099051309;0;75,9749950474346
"232";"2009_2011";"Manhuacu";"31061";0,251897099545584;0,748102900454416;0;62,5948549772792
"233";"2009_2011";"Mantena";"31038";0,202110942004776;0,727365529529678;0,0705235284655456;49,527017830407
"234";"2009_2011";"Montes_Claros";"31007";0,248140693591617;0,751859306408383;0;62,4070346795808
"235";"2009_2011";"Muriae";"31063";0,444785644096072;0,555214355903928;0;72,2392822048036
"236";"2009_2011";"Nanuque";"31016";0,100564376887763;0,899435623112237;0;55,0282188443881
"237";"2009_2011";"Oliveira";"31046";0,756312361158176;0,243687638841824;0;87,8156180579088
"238";"2009_2011";"Ouro_Preto";"31033";0,948072561444783;0,0519274385552167;0;97,4036280722392
"239";"2009_2011";"Para_de_Minas";"31029";0,881372694756833;0,118627305243167;0;94,0686347378416
"240";"2009_2011";"Paracatu";"31002";0,254245334062923;0,745754665937077;0;62,7122667031462
"241";"2009_2011";"Passos";"31047";0,184900296890304;0,788553654505387;0,0265460486043095;55,2631075538687
"242";"2009_2011";"Patos_de_Minas";"31020";0,537882937030109;0,462117062969891;0;76,8941468515054
"243";"2009_2011";"Patrocinio";"31019";0,658867645887778;0,334764762518369;0,00636759159385248;81,988243555311
"244";"2009_2011";"Pecanha";"31036";0,210810994363109;0,789189005636891;0;60,5405497181554
"245";"2009_2011";"Pedra_Azul";"31013";0,55578308589409;0,164605366663753;0,279611547442157;35,847422178381
"246";"2009_2011";"Pirapora";"31006";0,0563294089183487;0,943670591081651;0;52,8164704459174
"247";"2009_2011";"Piui";"31042";0,624567106013291;0,375432893986709;0;81,2283553006645
"248";"2009_2011";"Pocos_de_Caldas";"31051";0,0561293216633067;0,943870678336693;0;52,8064660831653
"249";"2009_2011";"Ponte_Nova";"31060";0,0701471925629021;0,929852807437098;0;53,5073596281451
"250";"2009_2011";"Pouso_Alegre";"31052";0,580340873759881;0,419659126240119;0;79,017043687994
"251";"2009_2011";"Salinas";"31005";0,140473317719053;0,825466172126845;0,0340605101541012;51,9145893628375
"252";"2009_2011";"Santa_Rita_do_Sapucai";"31053";0,464154445498922;0,535845554501078;0;73,2077222749461
"253";"2009_2011";"Sao_Joao_Del_Rei";"31058";0,270410574883344;0,729589425116656;0;63,5205287441672
"254";"2009_2011";"Sao_Lourenco";"31054";0,883273875214947;0,116726124785052;0;94,1636937607474
"255";"2009_2011";"Sao_Sebastiao_do_Paraiso";"31048";0,519522516000487;0,480477483999513;0;75,9761258000243
"256";"2009_2011";"Sete_Lagoas";"31027";0,838741668240818;0,14262909166959;0,0186292400895917;89,1426973986022
"257";"2009_2011";"Teofilo_Otoni";"31015";0,330516766674075;0,669483233325925;0;66,5258383337037
"258";"2009_2011";"Tres_Marias";"31024";0,771444250508879;0,228555749491121;0;88,572212525444
"259";"2009_2011";"Uba";"31064";0,561992785223479;0,438007214776521;0;78,099639261174
"260";"2009_2011";"Uberaba";"31022";0,781465076322611;0,218534923677389;0;89,0732538161305
"261";"2009_2011";"Uberlandia";"31018";0,93980668421711;0,0601933157828898;0;96,9903342108555
"262";"2009_2011";"Unai";"31001";0,263270545742672;0,736729454257328;0;63,1635272871336
"263";"2009_2011";"Varginha";"31050";0,186149564621487;0,813850435378513;0;59,3074782310743
"264";"2009_2011";"Vicosa";"31062";0,0505685729021472;0,949431427097853;0;52,5284286451074
"265";"2012_2014";"Aimores";"31041";0,480549948376814;0,519450051623186;0;74,0274974188407
"266";"2012_2014";"Alfenas";"31049";0,850486708179125;0,149513291820875;0;92,5243354089562
"267";"2012_2014";"Almenara";"31014";0,519480544300894;0,265497668373978;0,215021787325128;43,7207591162755
"268";"2012_2014";"Andrelandia";"31055";0,320713324512897;0,39885899741041;0,280427678076693;23,971514514141
"269";"2012_2014";"Aracuai";"31012";0,1424358541526;0,8575641458474;0;57,12179270763
"270";"2012_2014";"Araxa";"31023";0,662886285834051;0,337113714165949;0;83,1443142917026
"271";"2012_2014";"Barbacena";"31059";0,848573787162085;0,151426212837915;0;92,4286893581043
"272";"2012_2014";"Belo_Horizonte";"31030";0,96925813386906;0,0307418661309405;0;98,462906693453
"273";"2012_2014";"Bocaiuva";"31009";0,833354471109357;0,166645528890643;0;91,6677235554679
"274";"2012_2014";"Bom_Despacho";"31026";0,135872947949895;0,864127052050105;0;56,7936473974948
