Municipio,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
311810,0,0,3,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
311820,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311830,12,9,6,3,5,5,1,1,2,2,1,2,0,0,0,0,1,0
311840,0,1,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
311850,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
311860,26,18,8,6,11,10,9,4,7,3,3,4,5,2,2,1,6,4
311870,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
311880,4,1,5,4,2,4,0,0,1,0,0,0,0,0,0,2,0,0
311890,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
311900,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
311910,2,3,2,2,1,2,1,0,1,2,0,0,0,0,0,0,0,1
311920,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
311930,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
311940,2,5,4,3,0,4,2,0,0,1,1,0,0,0,0,1,0,0
311950,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311970,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
312015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
312020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312030,0,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
312040,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
312050,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
312060,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312070,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
312080,0,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0
312083,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
312087,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
312090,4,10,7,8,6,1,1,1,1,1,1,0,1,1,0,0,2,1
312100,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312110,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
312120,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
312125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
312130,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312150,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
312160,3,3,3,1,3,0,1,1,0,2,0,1,3,3,0,0,0,0
312170,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0
312180,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
312190,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
312200,2,2,2,5,2,5,0,0,0,3,1,0,0,0,0,0,0,0
312210,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
312220,0,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0,2,0
312230,1,4,2,0,3,5,0,0,1,0,1,0,1,2,1,1,1,1
312235,2,2,1,2,0,0,1,2,1,2,0,1,0,0,0,0,0,0
312240,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
312245,0,0,3,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0
312247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312250,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
312260,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
312270,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
312280,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
312290,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
312300,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
312310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312320,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
312330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312352,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312360,1,2,3,4,1,2,0,0,1,0,0,0,0,1,1,0,2,0
312370,6,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
312380,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312385,0,3,1,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0
312390,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
312400,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
312410,4,4,3,1,3,4,2,1,1,0,0,1,0,0,0,0,0,2
312420,7,3,1,2,3,1,0,1,0,0,0,1,1,1,0,0,0,0
312430,9,9,5,3,5,2,2,0,2,2,0,0,0,0,0,0,0,0
312440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
312450,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312470,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
312480,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
312490,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312510,1,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0
312520,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
312530,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312540,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
312560,0,2,1,3,1,0,0,1,0,1,0,1,1,1,0,0,0,0
312570,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
312580,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
312590,1,1,2,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0
312595,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
312600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312610,4,5,3,5,2,0,2,4,0,2,0,0,0,0,1,0,0,0
312620,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312650,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1
312660,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
312670,4,0,0,0,1,2,2,0,0,1,0,2,2,0,0,1,0,1
312675,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312680,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
312690,4,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
312695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
312707,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
312710,1,4,1,0,2,1,2,2,0,0,0,1,1,0,1,1,0,0
312720,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312730,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
312733,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312735,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
312737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312740,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312750,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
312760,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
312770,35,33,9,9,7,10,4,1,5,1,2,2,3,0,0,1,3,0
312780,4,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0
312790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312800,1,3,3,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0
312810,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312820,2,2,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0
312825,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
312830,2,3,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
312840,2,2,2,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0
312850,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
312860,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
312870,6,6,3,2,3,3,0,0,1,1,0,1,2,2,0,0,1,1
312880,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312890,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
312900,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
312910,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
312920,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
312930,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
312940,5,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
312950,2,2,1,0,1,1,1,1,0,1,0,1,2,0,0,0,1,0
312960,2,0,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
312965,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
312970,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
312980,8,6,5,7,0,3,4,2,0,2,0,1,1,2,1,1,0,1
312990,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
313000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
313005,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0
313010,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0
313020,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
313030,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313040,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313050,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
313055,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
313060,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313065,0,0,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0,1
313070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
313080,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
