Municipio,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 anos ou mais
312610,3386,3585,4289,4963,5292,5465,5460,5088,4746,5016,4789,4114,3407,2475,1971,1412,1643
312620,797,766,742,785,985,795,747,651,521,486,472,371,285,222,152,120,135
312630,278,271,319,363,332,345,327,291,280,302,280,282,197,159,123,83,78
312640,191,191,207,253,226,235,213,208,221,177,185,135,121,91,88,57,66
312650,532,551,815,839,931,1067,920,689,635,609,579,506,457,367,320,238,322
312660,424,399,399,451,472,396,402,373,335,276,277,230,203,165,91,89,120
312670,1913,1871,2026,2321,2385,2191,2088,1826,1556,1650,1450,1130,1032,889,614,473,473
312675,435,391,478,502,504,444,386,396,332,333,293,287,253,172,154,98,154
312680,502,459,495,491,523,452,442,402,343,364,327,247,223,173,163,128,192
312690,706,693,802,838,818,693,657,660,664,612,539,433,349,271,246,193,211
312695,264,255,314,305,297,302,283,271,225,189,156,148,134,84,77,71,65
312700,1339,1367,1254,1385,1413,1512,1500,1322,1050,1012,811,739,592,457,310,205,203
312705,332,337,351,362,396,295,356,313,290,283,277,225,218,202,172,123,131
312707,540,512,525,523,493,413,414,327,267,264,258,253,249,214,141,143,125
312710,3562,3770,3890,4364,4785,5172,4898,4542,3962,3848,3669,3056,2427,1892,1384,1002,1108
312720,303,293,331,344,332,311,300,304,274,295,261,236,150,147,112,85,90
312730,461,445,541,607,554,430,473,512,483,480,426,398,335,272,218,126,168
312733,375,378,342,412,516,419,380,373,316,315,320,292,203,199,139,76,107
312735,214,215,229,274,234,243,237,221,222,192,179,141,139,115,100,68,70
312737,241,238,226,239,275,227,234,226,221,222,203,200,139,130,77,68,83
312738,215,227,249,267,278,276,217,292,235,312,312,225,234,163,122,100,139
312740,245,242,274,372,303,307,273,327,323,344,330,262,217,190,144,95,80
312750,465,452,515,594,570,487,463,378,348,374,339,304,261,177,144,105,127
312760,698,720,805,992,1054,1066,952,788,772,816,730,660,543,424,290,236,310
312770,18341,18953,21094,23419,22447,22530,22339,20931,18286,18418,16460,14067,11489,8838,6654,4985,5763
312780,1229,1161,1386,1572,1580,1426,1234,1085,914,890,776,616,527,423,302,211,274
312790,86,88,84,92,90,103,104,93,119,102,99,84,69,47,56,38,38
312800,2130,2087,2631,3096,3201,2809,2644,2554,2139,2069,1867,1635,1303,988,808,578,715
312810,861,850,1027,1136,1134,1087,1027,1078,1012,1034,951,877,665,518,362,260,316
312820,553,572,700,771,691,878,818,702,691,685,686,692,516,419,347,279,361
312825,362,358,322,393,428,423,395,388,307,335,293,251,199,160,121,86,79
312830,1101,1105,1233,1677,1620,1592,1548,1382,1333,1263,1262,1077,887,669,470,368,450
312840,514,531,572,665,751,708,656,547,606,643,620,537,413,340,267,209,300
312850,229,235,285,305,333,272,292,300,225,263,271,216,198,148,112,81,119
312860,485,464,488,587,571,528,459,475,517,491,428,330,248,206,148,109,91
312870,2879,2982,3359,3910,4162,4206,4104,3760,3590,3543,3504,3183,2536,1923,1386,981,1231
312880,411,419,456,546,611,505,517,507,478,523,525,456,352,270,216,156,241
312890,497,524,627,642,670,569,570,513,539,535,487,418,340,282,231,154,166
312900,455,469,528,622,620,630,653,595,575,622,637,571,476,377,272,217,277
312910,320,322,332,412,379,302,340,443,459,470,449,373,373,301,248,200,178
312920,414,414,412,494,514,470,471,461,431,458,447,388,351,250,184,112,148
312930,700,700,776,941,919,777,809,749,745,766,666,524,487,367,306,224,280
312940,331,347,320,408,437,354,343,392,387,374,342,272,222,188,161,93,96
312950,1577,1593,1678,2014,1986,2089,2090,1960,1685,1597,1670,1456,1034,738,543,396,426
312960,679,634,656,735,789,694,692,595,473,451,451,379,298,244,147,145,156
312965,467,446,502,596,584,521,462,390,297,386,299,292,202,201,160,119,157
312970,1024,975,963,1118,1214,1147,1081,989,903,809,713,676,540,391,276,204,199
312980,13331,12795,14280,16988,15963,15342,14686,14542,12384,11034,9087,7714,5530,3665,2383,1597,1496
312990,174,183,254,273,264,266,248,249,252,252,224,214,199,145,100,89,83
313000,199,190,253,235,236,226,189,223,220,178,180,165,137,111,90,61,66
313005,965,924,1018,1084,1244,1181,1062,795,635,528,494,396,365,275,216,163,196
313010,2905,2799,3176,3578,3408,3365,3256,3166,2896,2526,2313,1945,1448,1112,836,538,536
313020,708,735,838,920,950,940,836,800,719,621,612,444,378,286,185,137,139
313030,405,426,456,526,676,709,617,553,561,599,628,538,453,318,248,163,170
313040,389,401,504,545,554,480,518,478,424,442,383,315,274,207,148,107,131
313050,812,807,914,1082,1043,943,925,822,812,805,753,634,580,384,288,235,246
313055,510,484,563,554,557,537,495,515,497,413,391,336,279,201,162,124,130
313060,375,386,450,596,548,540,553,592,585,533,527,431,343,274,198,116,156
313065,518,488,582,731,703,569,553,476,442,443,437,355,317,259,206,149,172
313070,483,475,523,579,595,568,532,515,490,420,423,295,240,182,136,97,86
313080,164,166,180,243,228,196,194,207,212,210,184,156,118,100,70,52,48
313090,1501,1524,1774,1960,1941,1717,1758,1805,1739,1682,1646,1299,1186,866,685,587,728
313100,350,354,500,558,533,513,506,463,390,383,365,360,274,191,144,92,121
313110,463,468,532,655,662,587,564,522,466,472,449,387,314,254,206,136,186
313115,1426,1376,1545,1701,1693,1563,1361,1427,1137,1050,890,773,650,429,349,267,287
313120,1207,1228,1382,1442,1493,1447,1477,1428,1320,1306,1161,1073,954,769,558,448,586
313130,16102,16877,18198,20522,20751,22639,22746,20865,17460,16441,15315,14606,11911,7759,5095,3739,3998
313140,244,248,281,306,348,330,312,328,258,300,286,225,199,177,152,105,105
313150,566,592,690,734,817,775,727,766,768,792,691,597,449,348,281,159,163
313160,512,508,506,585,573,517,552,484,499,494,385,352,262,195,178,107,106
313170,7291,7573,8018,9329,9596,10013,9928,9644,8238,8039,7518,6201,4864,3549,2570,1887,2257
313180,799,798,804,927,836,929,946,934,779,653,656,544,477,368,295,222,277
313190,3183,3296,3530,4084,4095,4456,4286,4041,3413,3155,3101,2626,2019,1511,1000,745,933
313200,336,335,421,479,496,479,458,414,304,325,271,242,195,178,150,85,86
313210,1662,1559,1637,1877,1768,1533,1261,1244,1014,1035,827,672,560,457,397,281,323
313220,743,756,874,1038,1022,991,1014,1044,974,918,880,717,622,439,374,282,344
313230,1161,1066,1268,1282,1140,1122,983,893,729,599,469,445,369,274,250,177,213
313240,5641,5861,6361,7536,7924,8285,7827,7041,6399,6335,6333,5562,4294,3293,2253,1771,2203
313250,2775,2644,3046,3247,3257,3091,2818,2425,2050,1824,1730,1338,1081,862,702,446,554
313260,199,203,223,299,363,382,313,297,288,365,316,271,230,169,120,108,123
313270,1810,1758,1923,2098,2014,1867,1676,1551,1311,1305,1326,1085,844,722,627,565,736
313280,129,137,131,154,178,146,142,150,145,160,170,139,113,86,80,54,72
313290,545,578,679,786,873,808,782,710,668,679,787,717,570,388,289,223,259
313300,940,972,1046,1180,1250,1251,1243,1187,1023,999,1020,829,701,491,329,241,311
313310,947,986,1030,1090,1274,1129,1218,1119,1062,1039,1057,838,661,534,382,256,325
313320,847,877,842,953,970,953,847,768,855,833,790,602,572,460,381,268,344
313330,1554,1523,1662,1849,1778,1670,1605,1512,1236,1269,1218,1002,867,756,637,470,593
313340,741,735,862,1079,1147,1421,1399,1199,1174,1067,943,794,624,477,407,289,312
