"";"COD_Microrregiao_Geografica";"Nome_Microrregiao";"Trienio";"Categoria_Adequacao";"Pop";"Tot";"Prop"
"187";"31011";"Capelinha";"2006_2008";"Categoria 1 ou Adequada (C1)";255084;903312;0,282387480737552
"188";"31011";"Capelinha";"2006_2008";"Categoria 2 ou Intermediária (C2)";648228;903312;0,717612519262448
"189";"31011";"Capelinha";"2006_2008";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"190";"31011";"Capelinha";"2009_2011";"Categoria 1 ou Adequada (C1)";358758;891202;0,402555200728903
"191";"31011";"Capelinha";"2009_2011";"Categoria 2 ou Intermediária (C2)";532444;891202;0,597444799271097
"192";"31011";"Capelinha";"2009_2011";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"193";"31011";"Capelinha";"2012_2014";"Categoria 1 ou Adequada (C1)";343323;765902;0,448259699021546
"194";"31011";"Capelinha";"2012_2014";"Categoria 2 ou Intermediária (C2)";422579;765902;0,551740300978454
"195";"31011";"Capelinha";"2012_2014";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"196";"31011";"Capelinha";"2015_2017";"Categoria 1 ou Adequada (C1)";152817;774942;0,197197983849114
"197";"31011";"Capelinha";"2015_2017";"Categoria 2 ou Intermediária (C2)";622125;774942;0,802802016150886
"198";"31011";"Capelinha";"2015_2017";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"199";"31012";"Aracuai";"2000_2002";"Categoria 1 ou Adequada (C1)";NA;NA;0
"200";"31012";"Aracuai";"2000_2002";"Categoria 2 ou Intermediária (C2)";117964;568464;0,207513580455403
"201";"31012";"Aracuai";"2000_2002";"Categoria 3 ou Inadequada (C3)";450500;568464;0,792486419544597
"202";"31012";"Aracuai";"2003_2005";"Categoria 1 ou Adequada (C1)";NA;NA;0
"203";"31012";"Aracuai";"2003_2005";"Categoria 2 ou Intermediária (C2)";575585;575585;1
"204";"31012";"Aracuai";"2003_2005";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"205";"31012";"Aracuai";"2006_2008";"Categoria 1 ou Adequada (C1)";56281;581587;0,0967714202690225
"206";"31012";"Aracuai";"2006_2008";"Categoria 2 ou Intermediária (C2)";525306;581587;0,903228579730977
"207";"31012";"Aracuai";"2006_2008";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"208";"31012";"Aracuai";"2009_2011";"Categoria 1 ou Adequada (C1)";127851;586979;0,217811880833897
"209";"31012";"Aracuai";"2009_2011";"Categoria 2 ou Intermediária (C2)";415110;586979;0,707197361404752
"210";"31012";"Aracuai";"2009_2011";"Categoria 3 ou Inadequada (C3)";44018;586979;0,0749907577613509
"211";"31012";"Aracuai";"2012_2014";"Categoria 1 ou Adequada (C1)";84379;592400;0,1424358541526
"212";"31012";"Aracuai";"2012_2014";"Categoria 2 ou Intermediária (C2)";508021;592400;0,8575641458474
"213";"31012";"Aracuai";"2012_2014";"Categoria 3 ou Inadequada (C3)";NA;NA;0
